"countryDataId","country","cpiCountry","gdpCountry"
"1","France","110.05","2782910000000.00"
"2","United States","117.24","25462700000000.00"
"3","Mexico","141.54","1258286717125.00"
"4","India","180.44","3385090000000.00"
"5","Spain","110.96","1394116310769.00"
"6","China","125.08","19910000000000.00"
"7","Canada","116.76","1736425629520.00"
"8","Germany","112.85","4072190000000.00"
"9","Switzerland","99.55","703082435360.00"
"10","Belgium","117.11","578604000000.00"
"11","Hong Kong","105.3","385546000000.00"
"12","Austria","118.06","471400000000.00"
"13","Japan","105.48","4231140000000.00"
"14","United Kingdom","119.62","3070670000000.00"
"15","Australia","119.8","1392680589329.00"
"16","Indonesia","151.18","1119190780753.00"
"17","United Arab Emirates","114.52","421142267938.00"
"18","Russia","180.75","1699876578871.00"
"19","Chile","131.91","282318159745.00"
"20","Monaco","113","7184844193.00"
"21","Czech Republic","116.48","290924000000.00"
"22","Sweden","110.51","530832908738.00"
"23","Thailand","113.27","543649976166.00"
"24","Uzbekistan","307.79","57921286440.00"
"25","Singapore","114.41","372062527489.00"
"26","Nigeria","267.51","448120428859.00"
"27","Israel","108.15","395098666122.00"
"28","Italy","110.62","2010430000000.00"
"29","South Africa","158.93","351431649241.00"
"30","Brazil","167.4","1839758040766.00"
"31","Malaysia","121.46","406306000000.00"
"32","South Korea","115.16","1665250000000.00"
"33","New Zealand","114.24","206928765544.00"
"34","Philippines","129.61","376795508680.00"
"35","Taiwan","106.01","751930000000.00"
"36","Norway","120.27","403336363636.00"
"37","Egypt","288.57","303175127598.00"
"38","Denmark","110.35","348078018464.00"
"39","Eswatini (Swaziland)","174.42","4854167638.00"
"40","Colombia","140.95","323802808108.00"
"41","Netherlands","115.91","909070395161.00"
"42","Poland","114.11","592164400688.00"
"43","Bahamas","129.56","12897400000.00"
"44","Ukraine","281.66","153781069118.00"
"45","Cayman Islands","130.4","5898000000.00"
"46","Greece","101.87","209852761469.00"
"47","Turkey","234.44","754411708203.00"
"48","Argentina","232.75","449663446954.00"
"49","Georgia","133.61","17743195770.00"
"50","Portugal","110.62","237686075635.00"
"51","Kazakhstan","182.75","180161741180.00"
"52","Algeria","151.81","169988236398.00"
"53","Vietnam","163.52","261921244843.00"
"54","Latvia","116.86","34117202555.00"
"55","Finland","112.33","268761201365.00"
"56","Bermuda","115.1","7287000000.00"
"57","Luxembourg","115.09","71104919108.00"
"58","British Virgin Islands","100","1027000000.00"
"59","Cambodia","127.63","27089389787.00"
"60","Lebanon","130.02","53367042272.00"
"61","Oman","113.53","76983094928.00"
"62","Ireland","121.1","529245000000.00"
"63","Cyprus","102.51","24564647935.00"
"64","Guernsey","110","3466000.00"
"65","Liechtenstein","107.3","6552858739.00"
"66","Turks and Caicos Islands","100","943000000.00"
"67","Romania","123.78","250077444017.00"
"68","Qatar","115.38","183466208791.00"
"69","Uruguay","202.92","56045912952.00"
"70","Nepal","188.73","30641380604.00"
"71","Slovakia","115.34","105422304976.00"
"72","Morocco","111.07","118725279596.00"
"73","Hungary","121.64","160967157504.00"
"74","Tanzania","187.43","63177068175.00"
"75","Bahrain","117.59","38574069149.00"
"76","Peru","129.78","226848050820.00"
"77","Andorra","114.22","3154057987.00"
"78","Armenia","129.18","13672802158.00"
"79","Panama","109.83","76522511781.00"
