"educationId","country","grossTertiaryEducationEnrollment","grossPrimaryEducationEnrollment"
"1","France","65.6","102.5"
"2","United States","88","101.8"
"3","Mexico","40.2","105.8"
"4","India","28.1","113"
"5","Spain","88.9","102.7"
"6","China","50.6","100.2"
"7","Canada","68.9","100.9"
"8","Germany","70.2","70.2"
"9","Switzerland","59.6","105.2"
"10","Belgium","79.7","103.9"
"11","Hong Kong","84.39","84.39"
"12","Austria","85.1","103.1"
"13","Japan","63.2","98.8"
"14","United Kingdom","60","101.2"
"15","Australia","113.1","100.3"
"16","Indonesia","36.3","106.4"
"17","United Arab Emirates","36.8","108.4"
"18","Russia","81.9","102.6"
"19","Chile","88.5","101.4"
"20","Monaco","30","127"
"21","Czech Republic","64.1","100.7"
"22","Sweden","67","126.6"
"23","Thailand","49.3","99.8"
"24","Uzbekistan","10.1","104.2"
"25","Singapore","84.8","100.6"
"26","Nigeria","10.2","84.7"
"27","Israel","63.4","104.9"
"28","Italy","61.9","101.9"
"29","South Africa","22.4","100.9"
"30","Brazil","51.3","115.4"
"31","Malaysia","45.1","105.3"
"32","South Korea","94.3","98.1"
"33","New Zealand","82","100"
"34","Philippines","35.5","107.5"
"35","Taiwan","0","100"
"36","Norway","82","100.3"
"37","Egypt","35.2","106.3"
"38","Denmark","80.6","101.3"
"39","Eswatini (Swaziland)","6","121"
"40","Colombia","55.3","114.5"
"41","Netherlands","85","104.2"
"42","Poland","67.8","100"
"43","Bahamas","14","87"
"44","Ukraine","82.7","99"
"45","Cayman Islands","48","93.22"
"46","Greece","136.6","99.6"
"47","Turkey","23.9","93.2"
"48","Argentina","90","109.7"
"49","Georgia","63.9","98.6"
"50","Portugal","63.9","106.2"
"51","Kazakhstan","61.7","104.4"
"52","Algeria","51.4","109.9"
"53","Vietnam","28.5","110.6"
"54","Latvia","88.1","99.4"
"55","Finland","88.2","100.2"
"56","Bermuda","23","88"
"57","Luxembourg","19.2","102.3"
"58","British Virgin Islands","20","101"
"59","Cambodia","13.7","107.4"
"60","Lebanon","26.3","95.1"
"61","Oman","38","103.4"
"62","Ireland","74.68","100"
"63","Cyprus","75.9","99.3"
"64","Guernsey","40","100"
"65","Liechtenstein","35.6","104.7"
"66","Turks and Caicos Islands","10","122"
"67","Romania","49.4","85.2"
"68","Qatar","17.9","103.8"
"69","Uruguay","63.1","108.5"
"70","Nepal","12.4","142.1"
"71","Slovakia","46.6","98.7"
"72","Morocco","35.9","113.9"
"73","Hungary","48.5","100.8"
"74","Tanzania","4","94.2"
"75","Bahrain","50.5","99.4"
"76","Peru","70.7","106.9"
"77","Andorra","34","106.4"
"78","Armenia","54.6","92.7"
"79","Panama","44.38","101"
