"lifeTaxId","country","lifeExpectancyCountry","taxRevenueCountryCountry","totalTaxRateCountry"
"1","France","82.5","24.2","60.7"
"2","United States","78.5","9.6","36.6"
"3","Mexico","75","13.1","55.1"
"4","India","69.4","11.2","49.7"
"5","Spain","83.3","14.2","47"
"6","China","77","9.4","59.2"
"7","Canada","81.9","12.8","24.5"
"8","Germany","80.9","11.5","48.8"
"9","Switzerland","83.6","10.1","28.8"
"10","Belgium","81.6","24","55.4"
"11","Hong Kong","85.83","20","0"
"12","Austria","81.6","25.4","51.4"
"13","Japan","84.2","11.9","46.7"
"14","United Kingdom","81.3","25.5","30.6"
"15","Australia","82.7","23","47.4"
"16","Indonesia","71.5","10.2","30.1"
"17","United Arab Emirates","77.8","0.1","15.9"
"18","Russia","72.7","11.4","46.2"
"19","Chile","80","18.2","34"
"20","Monaco","89.52","24","0"
"21","Czech Republic","79","14.9","46.1"
"22","Sweden","82.5","27.9","49.1"
"23","Thailand","76.9","14.9","29.5"
"24","Uzbekistan","71.6","14.8","31.6"
"25","Singapore","83.1","13.1","21"
"26","Nigeria","54.3","1.5","34.8"
"27","Israel","82.8","23.1","25.3"
"28","Italy","82.9","24.3","59.1"
"29","South Africa","63.9","27.5","29.2"
"30","Brazil","75.7","14.2","65.1"
"31","Malaysia","76","12","38.7"
"32","South Korea","82.6","15.6","33.2"
"33","New Zealand","81.9","29","34.6"
"34","Philippines","71.1","14","43.1"
"35","Taiwan","81.16","20","5"
"36","Norway","82.8","23.9","36.2"
"37","Egypt","71.8","12.5","44.4"
"38","Denmark","81","32.4","23.8"
"39","Eswatini (Swaziland)","57.07","10","33"
"40","Colombia","77.1","14.4","71.2"
"41","Netherlands","81.8","23","41.2"
"42","Poland","77.6","17.4","40.8"
"43","Bahamas","71.6","14","0"
"44","Ukraine","71.6","20.1","45.2"
"45","Cayman Islands","82.04","10","0"
"46","Greece","81.3","26.2","51.9"
"47","Turkey","77.4","17.9","42.3"
"48","Argentina","76.5","10.1","106.3"
"49","Georgia","73.6","21.7","9.9"
"50","Portugal","81.3","22.8","39.8"
"51","Kazakhstan","73.2","11.7","28.4"
"52","Algeria","76.7","37.2","66.1"
"53","Vietnam","75.3","19.1","37.6"
"54","Latvia","74.7","22.9","38.1"
"55","Finland","81.7","20.8","36.6"
"56","Bermuda","79.28","14","0"
"57","Luxembourg","82.1","26.5","20.4"
"58","British Virgin Islands","79.67","12","0"
"59","Cambodia","69.6","17.1","23.1"
"60","Lebanon","78.9","15.3","32.2"
"61","Oman","77.6","2.5","27.4"
"62","Ireland","81.66","24","20"
"63","Cyprus","80.8","24.5","22.4"
"64","Guernsey","83.23","20","0"
"65","Liechtenstein","83","17","3"
"66","Turks and Caicos Islands","76","12","0"
"67","Romania","75.4","14.6","20"
"68","Qatar","80.1","14.7","11.3"
"69","Uruguay","77.8","20.1","41.8"
"70","Nepal","70.5","20.7","41.8"
"71","Slovakia","77.2","18.7","49.7"
"72","Morocco","76.5","21.9","45.8"
"73","Hungary","75.8","23","37.9"
"74","Tanzania","65","11.5","43.8"
"75","Bahrain","77.2","4.2","13.8"
"76","Peru","76.5","14.3","36.8"
"77","Andorra","81.9","23","0"
"78","Armenia","74.9","20.9","22.6"
"79","Panama","77.62","11","0"
